ID,Category,Test,Steps,Expected Result,Pass/Fail,Notes
1,Layout,Sidebar visible on load,Navigate to /map,252px sidebar on left with Setup Score card and nav items,,
2,Layout,Top bar visible,Navigate to /map,Sticky top bar with Driftwatch logo / Agent Map breadcrumb,,
3,Layout,Main content area scrolls independently,Load demo data and scroll main area,Sidebar and top bar stay fixed while content scrolls,,
4,Layout,No horizontal scroll,Check all views at 1920px and 1440px width,No horizontal scrollbar on any view,,
5,Layout,Skip to content link,Press Tab on page load,Skip link appears at top — clicking it jumps to main content,,
6,Sidebar,Setup Score displays correctly,Load demo or scan workspace,Score shows as X/Y with correct color (green ≥8 amber ≥5 red <5),,
7,Sidebar,Overview nav active by default,Load /map with data,Overview button highlighted with accent glow,,
8,Sidebar,View switching works — all 6 views,Click each sidebar nav item,Main content changes to correct view — URL stays /map,,
9,Sidebar,Active state follows clicks,Click through all 6 views,Only clicked item shows active styling,,
10,Sidebar,Agent count badge,Load data with agents,Agents nav item shows correct count badge,,
11,Sidebar,File count badge,Load data with files,Files nav item shows correct count badge,,
12,Sidebar,Config Review alert dot,Load data that produces findings,Red pulsing dot appears next to Config Review,,
13,Sidebar,Config Review no alert when clean,Load data with no findings,No red dot next to Config Review,,
14,Sidebar,Download Snapshot button,Click Download Snapshot in sidebar actions,JSON file downloads with timestamp filename,,
15,Sidebar,Upload Snapshot button,Click Upload Snapshot in sidebar actions,File picker opens for JSON upload,,
16,Sidebar,Session Notes button,Click Session Notes in sidebar actions,Markdown file downloads,,
17,Overview,Stats row displays 4 stats,Navigate to Overview,Total Files / Agents / Memory Entries / Skills shown with correct colors,,
18,Overview,Agent Fleet card shows agents,Check Agent Fleet summary card,Lists agents with names and models,,
19,Overview,Agent Fleet "View all →" navigates,Click View all on Agent Fleet card,Switches to Agents view,,
20,Overview,Config Review card shows findings,Check Config Review summary card,Shows top findings with severity dots,,
21,Overview,Config Review "View all →" navigates,Click View all on Config Review card,Switches to Config Review view,,
22,Overview,Bootstrap Budget card shows bar,Check Budget card,Progress bar with char count and percentage,,
23,Overview,File Health card shows file checklist,Check File Health card,Recommended files listed with checkmarks,,
24,Overview,File Health "View all →" navigates,Click View all on File Health card,Switches to Files view,,
25,Overview,Green pulse dot animates,Check page header,Green dot pulses next to title,,
26,Agents,Agent list as rows,Navigate to Agents view,Agents shown as rows not cards — name / model / provider / reports-to,,
27,Agents,Provider badge colors,Check each agent row,Anthropic = blue badge / Ollama = green badge,,
28,Agents,Hierarchy tree renders,Scroll below agent list,Tree showing root agent with children indented,,
29,Agents,Hierarchy relationships correct,Compare to actual config,Parent-child relationships match openclaw.json,,
30,Files,File groups with colored dots,Navigate to Files view,Core Identity (green) / Operations (blue) / Custom (gray) sections,,
31,Files,Char counts displayed,Check file rows,Character count shown for each analyzed file,,
32,Files,Status badges correct,Check file rows,OK (green) / Watch (amber) / Over (red) badges based on thresholds,,
33,Files,Memory logs section,Check bottom of Files view,Date range and entry count shown,,
34,Files,Budget bar displays,Check budget section,Progress bar with percentage and char counts,,
35,Costs,Cost stats display,Navigate to Cost Tracking view,Today / Session / 7-Day / Total Requests cards shown,,
36,Costs,Period selector works,Click 7d / 30d / 90d / All buttons,Data and charts update to match selected period,,
37,Costs,Cost Over Time chart renders,Check chart area,Line chart with data points visible,,
38,Costs,Donut chart renders,Check donut area,Model breakdown donut with legend,,
39,Costs,Insights panel shows,Check below charts,Anomaly insights displayed,,
40,Costs,Request log table,Scroll to request log,Table with Time / Provider / Model / Tokens / Cost columns,,
41,Costs,Import functionality,Click Import and upload a file,Data imports and charts update,,
42,Costs,Export CSV from request log,Click Export CSV button,CSV file downloads,,
43,Review,Health score displays,Navigate to Config Review view,Score shown as X/100 with appropriate color,,
44,Review,Findings list rendered,Check below score,Findings grouped by severity with colored dots,,
45,Review,Severity filter buttons,Click Critical / Warning / Info filters,Findings list filters to match selection,,
46,Review,"Fix → button present",Check each finding row,Fix button appears for file-specific findings,,
47,Review,"Fix → opens editor",Click Fix on a finding,Editor panel slides in from right with correct file,,
48,Review,Empty state when no review,Navigate before scanning,Shows "Scan your workspace" message,,
49,Drift,Empty state displays,Navigate to Drift Report with no snapshot,Shows ◈ icon + "No previous snapshot loaded" message,,
50,Drift,Upload triggers diff,Upload a previous snapshot JSON,Drift report appears with file changes and finding diffs,,
51,Drift,File changes shown,Check drift report after upload,Added / removed / changed files listed with deltas,,
52,Drift,Health score delta,Check drift report header,Shows score change (e.g. -10),,
53,Editor,Opens from Fix button,Click Fix → on any finding,Panel slides in from right with backdrop overlay,,
54,Editor,Correct file loaded,Check editor content,File name matches the finding's file,,
55,Editor,View mode shows rendered markdown,Check initial editor state,Markdown rendered with size bar,,
56,Editor,Edit mode shows textarea,Click Edit button,Textarea with live char count and delta,,
57,Editor,Char count updates live,Type in editor,Character count changes in real time with +/- delta,,
58,Editor,API key detection warning,Paste a fake API key pattern,Warning appears about API key,,
59,Editor,Save works (Chrome/Edge),Click Save in edit mode,File System Access API save dialog or clipboard copy,,
60,Editor,Revert works,Click Revert after editing,Content returns to pre-edit state,,
61,Editor,Re-scan prompt after save,Save a change,Prompt: "Re-scan to update findings?" with Re-scan / Later buttons,,
62,Editor,Re-scan updates findings,Click Re-scan,Review panel updates with new analysis,,
63,Editor,Close button works,Click X or click backdrop,Editor panel closes,,
64,Scan,Directory picker appears,Navigate to /map (no data),Folder picker component visible,,
65,Scan,Text paste fallback,Click "Using SSH or headless server?",Expandable textarea for pasting tree output,,
66,Scan,Quick-start guide shows,Check below input area,3 instruction cards (01 02 03) with tip below,,
67,Scan,Scan produces results,Select .openclaw directory,Map generates and sidebar populates,,
68,Scan,File content toggle,Toggle "Read File Contents" during scan,Richer data when enabled,,
69,Demo,Demo mode loads,Navigate to /map?demo=true,Full demo data loads automatically,,
70,Demo,Demo badge shows,Check top bar in demo mode,Blue "Demo: Bub's workspace" pill badge visible,,
71,Demo,All views populated in demo,Click through all 6 views,All views show demo data,,
72,Navigation,/cost-tracking redirects,Navigate to /cost-tracking,Redirects to /map with Cost Tracking view active,,
73,Navigation,?view=costs param works,Navigate to /map?view=costs,Loads directly into Cost Tracking view,,
74,Navigation,New Map resets everything,Click New Map in top bar,All state cleared — back to input screen,,
75,Colors,Text contrast on cards,Inspect any text on #111827 bg,Primary text (#f1f5f9) clearly readable,,
76,Colors,Muted text readable,Check labels and hints,Muted text (#7a8a9b) visible — not washed out,,
77,Colors,Border visibility,Check card borders,Borders (#506880) visible against dark backgrounds,,
78,Colors,Accent color consistent,Check links and active states,All accent elements use #7db8fc consistently,,
79,Colors,Severity colors distinct,Check findings list,Red / amber / blue dots clearly distinguishable,,
80,A11y,Focus outlines visible,Tab through all interactive elements,Blue outline (2px #7db8fc) appears on focused elements,,
81,A11y,Keyboard sidebar navigation,Tab + Enter through sidebar,Can navigate all sidebar items with keyboard only,,
82,A11y,aria-current on active nav,Inspect active sidebar item,aria-current="page" attribute present,,
83,A11y,Screen reader landmarks,Test with screen reader or inspect,Navigation / main / region landmarks present,,
84,A11y,Budget bar has progressbar role,Inspect budget bar element,role="progressbar" with aria-valuenow,,
